Korean,English
이다,am
에,to
고,go
의,of
다,all
는,Is
것,thing
하다,do
도,do
게,crab
들,field
그,that
있다,there is
에서,at
있다,there is
되다,become
가다,go
기,energy
와/과,Wow/and
나,me
이,this
없다,does not exist
수,number
보다,see
않다,not
말,word
사람,person
하다,do
한,one
는데,To be
오다,come
구,nine
우리,we
아니다,no
다,all
겠,Yes
때,at the time
만,only
그,that
그렇다,Yes
던,Dungeon
같다,same
주다,give
그러다,Then
다는,All
안,not
아,ah
보다,see
그것,that
그런,that
또,also
일,Day
니까,So
면서,While
년,year
알다,know
에게,to
그래,okay
내,my
지다,lose
라고,Called
다,all
까지,until
집,house
대하다,treat
이렇다,Like this
등,etc.
가지다,have
나오다,come out
살다,live
라는,in
좋다,good night
지만,but
나,me
어,uh
씨,Seed
두,two
다고,All
받다,receive
먹다,eat
말하다,say
뭐,what
이,this
때문,because
잘,well
다가,Approach
그래서,so
데,place
모르다,don't know
을까,Is it
더,more
크다,big
좀,a little
이런,this
뭐,what
주다,give
위하다,for
